Year,State,State Code,Deaths,Population
1985,Oklahoma,40,2361,2757517
1985,Oregon,41,2167,2275197
1985,Pennsylvania,42,9244,10249709
1985,Rhode Island,44,698,849437
1985,South Carolina,45,1873,2809020
1985,South Dakota,46,570,581165
1985,Tennessee,47,3515,4059785
1985,Texas,48,8420,13591831
1985,Utah,49,767,1260845
1985,Vermont,50,427,453464
1985,Virginia,51,3589,4942730
1985,Washington,53,3118,3742116
1985,West Virginia,54,1680,1637778
1985,Wisconsin,55,3165,4043541
1985,Wyoming,56,320,405865
1986,Alabama,1,2743,3404273
1986,Arizona,4,2515,2800351
1986,Arkansas,5,1822,1988084
1986,California,6,17706,23027041
1986,Colorado,8,2259,2737075
1986,Connecticut,9,2202,2818706
1986,Delaware,10,410,537250
1986,District of Columbia,11,490,567641
1986,Florida,12,9085,10230429
1986,Georgia,13,3789,5169169
1986,Hawaii,15,495,887678
1986,Idaho,16,653,807335
1986,Illinois,17,8224,9681773
1986,Indiana,18,3946,4646933
1986,Iowa,19,2438,2373497
1986,Kansas,20,2035,2055598
1986,Kentucky,21,3240,3142272
1986,Louisiana,22,2284,3652134
1986,Maine,23,1062,1004393
1986,Maryland,24,2679,3873392
1986,Massachusetts,25,5103,5174076
1986,Michigan,26,6208,7778273
1986,Minnesota,27,2993,3557427
1986,Mississippi,28,1643,2158686
1986,Missouri,29,4173,4284699
1986,Montana,30,658,678811
1986,Nebraska,31,1247,1325638
1986,Nevada,32,640,838746
1986,New Hampshire,33,715,881974
1986,New Jersey,34,5126,6650093
1986,New Mexico,35,978,1208502
1986,New York,36,13630,15470948
1986,North Carolina,37,4304,5466799
1986,North Dakota,38,448,557832
1986,Ohio,39,7740,9161035
1986,Oklahoma,40,2402,2742653
1986,Oregon,41,2017,2285822
1986,Pennsylvania,42,9754,10241808
1986,Rhode Island,44,715,854651
1986,South Carolina,45,1957,2841898
1986,South Dakota,46,534,578442
1986,Tennessee,47,3592,4079847
1986,Texas,48,8440,13806756
1986,Utah,49,831,1282700
1986,Vermont,50,455,456166
1986,Virginia,51,3801,5018097
1986,Washington,53,3160,3783435
1986,West Virginia,54,1798,1620519
1986,Wisconsin,55,3432,4042054
1986,Wyoming,56,328,402665
1987,Alabama,1,2673,3427728
1987,Arizona,4,2592,2904730
1987,Arkansas,5,2012,1998172
1987,California,6,18915,23557274
1987,Colorado,8,2400,2751343
1987,Connecticut,9,2177,2833228
1987,Delaware,10,388,545384
1987,District of Columbia,11,487,565418
1987,Florida,12,9621,10502305
1987,Georgia,13,3762,5273376
1987,Hawaii,15,523,903748
1987,Idaho,16,728,806907
1987,Illinois,17,8046,9686965
1987,Indiana,18,3939,4667723
1987,Iowa,19,2381,2357210
1987,Kansas,20,1936,2064115
1987,Kentucky,21,3003,3146218
1987,Louisiana,22,2367,3602200
1987,Maine,23,942,1016556
1987,Maryland,24,2851,3931230
1987,Massachusetts,25,5094,5189099
1987,Michigan,26,6078,7826709
1987,Minnesota,27,2935,3579985
1987,Mississippi,28,1704,2160366
1987,Missouri,29,4295,4312940
1987,Montana,30,649,672726
1987,Nebraska,31,1347,1319652
1987,Nevada,32,731,874189
1987,New Hampshire,33,691,905504
1987,New Jersey,34,5078,6681024
1987,New Mexico,35,1053,1221423
1987,New York,36,13446,15485638
1987,North Carolina,37,4037,5538657
1987,North Dakota,38,405,551454
1987,Ohio,39,7799,9187107
1987,Oklahoma,40,2477,2706424
1987,Oregon,41,2192,2304112
1987,Pennsylvania,42,9733,10255485
1987,Rhode Island,44,743,863542
1987,South Carolina,45,1898,2876853
1987,South Dakota,46,640,579232
1987,Tennessee,47,3507,4122363
1987,Texas,48,8604,13845420
1987,Utah,49,852,1300869
1987,Vermont,50,469,461025
1987,Virginia,51,3888,5113796
1987,Washington,53,3192,3848048
1987,West Virginia,54,1815,1605234
1987,Wisconsin,55,3467,4057514
1987,Wyoming,56,308,388482
1988,Alabama,1,3076,3437341
1988,Arizona,4,2793,2984319
1988,Arkansas,5,2223,1998607
1988,California,6,20915,24087077
1988,Colorado,8,2547,2750872
1988,Connecticut,9,2366,2847231
1988,Delaware,10,388,554226
1988,District of Columbia,11,530,558982
1988,Florida,12,10237,10738166
1988,Georgia,13,4149,5357339
1988,Hawaii,15,485,914862
1988,Idaho,16,848,811276
1988,Illinois,17,8536,9691984
1988,Indiana,18,4205,4687761
1988,Iowa,19,2759,2363572
1988,Kansas,20,2255,2078560
1988,Kentucky,21,3410,3151969
1988,Louisiana,22,2550,3558245
1988,Maine,23,1027,1033112
1988,Maryland,24,3180,3998032
1988,Massachusetts,25,5304,5217829
1988,Michigan,26,6421,7847293
1988,Minnesota,27,3185,3629393
1988,Mississippi,28,1799,2159329
1988,Missouri,29,4664,4333920
1988,Montana,30,701,670262
1988,Nebraska,31,1486,1324801
1988,Nevada,32,912,915327
1988,New Hampshire,33,753,926230
1988,New Jersey,34,5508,6703378
1988,New Mexico,35,947,1229689
1988,New York,36,14336,15529013
1988,North Carolina,37,4698,5601016
1988,North Dakota,38,477,548699
1988,Ohio,39,8392,9218933
1988,Oklahoma,40,2691,2673883
1988,Oregon,41,2337,2342340
1988,Pennsylvania,42,10188,10273717
1988,Rhode Island,44,696,867905
1988,South Carolina,45,2091,2902806
1988,South Dakota,46,591,581538
1988,Tennessee,47,3896,4152578
1988,Texas,48,9462,13870430
1988,Utah,49,891,1319967
1988,Vermont,50,493,469030
1988,Virginia,51,3973,5196542
1988,Washington,53,3560,3937198
1988,West Virginia,54,1891,1587114
1988,Wisconsin,55,3889,4095270
1988,Wyoming,56,376,381549
1989,Alabama,1,3109,3445217
1989,Arizona,4,2970,3049605
1989,Arkansas,5,2056,2002596
1989,California,6,21963,24673506
1989,Colorado,8,2472,2764482
1989,Connecticut,9,2419,2849162
1989,Delaware,10,450,563116
1989,District of Columbia,11,513,552069
1989,Florida,12,10298,11007702
1989,Georgia,13,4333,5431206
1989,Hawaii,15,606,928696
1989,Idaho,16,776,822246
1989,Illinois,17,8925,9708141
1989,Indiana,18,4145,4711889
1989,Iowa,19,2624,2365853
1989,Kansas,20,2115,2085780
1989,Kentucky,21,3344,3155750
1989,Louisiana,22,2543,3537480
1989,Maine,23,953,1046196
1989,Maryland,24,3055,4046429
1989,Massachusetts,25,4777,5231678
1989,Michigan,26,6281,7865616
1989,Minnesota,27,3045,3661392
1989,Mississippi,28,1842,2159850
1989,Missouri,29,4631,4345752
1989,Montana,30,702,671905
1989,Nebraska,31,1436,1327093
1989,Nevada,32,877,968656
1989,New Hampshire,33,733,942094
1989,New Jersey,34,5500,6698432
1989,New Mexico,35,1076,1242646
1989,New York,36,14498,15537406
1989,North Carolina,37,4492,5670708
1989,North Dakota,38,444,542956
1989,Ohio,39,8223,9239767
1989,Oklahoma,40,2776,2669329
1989,Oregon,41,2397,2383671
1989,Pennsylvania,42,10278,10277546
1989,Rhode Island,44,684,870253
1989,South Carolina,45,2134,2941203
1989,South Dakota,46,534,580970
1989,Tennessee,47,3753,4179904
1989,Texas,48,9763,14023635
1989,Utah,49,844,1345127
1989,Vermont,50,453,475778
1989,Virginia,51,3866,5259326
1989,Washington,53,3585,4022664
1989,West Virginia,54,1810,1572395
1989,Wisconsin,55,3624,4120562
1989,Wyoming,56,353,379440
1990,Alabama,1,3207,3457689
1990,Arizona,4,3096,3084289
1990,Arkansas,5,2228,2007986
1990,California,6,21165,25077669
1990,Colorado,8,2500,2785049
1990,Connecticut,9,2471,2845755
1990,Delaware,10,451,569498
1990,District of Columbia,11,452,536601
1990,Florida,12,10738,11255598
1990,Georgia,13,4302,5489289
1990,Hawaii,15,603,942101
1990,Idaho,16,783,835371
1990,Illinois,17,8972,9729516
1990,Indiana,18,4310,4729705
1990,Iowa,19,2676,2372552
1990,Kansas,20,2169,2091151
1990,Kentucky,21,3389,3165294
