"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Illinois"	"17"	9592	10805529	88.8
	"2003"	"2003"	"Indiana"	"18"	5739	5338877	107.5
	"2003"	"2003"	"Iowa"	"19"	3253	2560536	127.0
	"2003"	"2003"	"Kansas"	"20"	2624	2341585	112.1
	"2003"	"2003"	"Kentucky"	"21"	4229	3576258	118.3
	"2003"	"2003"	"Louisiana"	"22"	3370	3886575	86.7
	"2003"	"2003"	"Maine"	"23"	1380	1158526	119.1
	"2003"	"2003"	"Maryland"	"24"	3986	4767046	83.6
	"2003"	"2003"	"Massachusetts"	"25"	6175	5630576	109.7
	"2003"	"2003"	"Michigan"	"26"	7818	8686925	90.0
	"2003"	"2003"	"Minnesota"	"27"	3278	4375742	74.9
	"2003"	"2003"	"Mississippi"	"28"	2715	2460862	110.3
	"2003"	"2003"	"Missouri"	"29"	5536	4956518	111.7
	"2003"	"2003"	"Montana"	"30"	1008	806569	125.0
	"2003"	"2003"	"Nebraska"	"31"	1638	1498664	109.3
	"2003"	"2003"	"Nevada"	"32"	1871	1931170	96.9
	"2003"	"2003"	"New Hampshire"	"33"	886	1120797	79.1
	"2003"	"2003"	"New Jersey"	"34"	6055	7452861	81.2
	"2003"	"2003"	"New Mexico"	"35"	1510	1614058	93.6
	"2003"	"2003"	"New York"	"36"	14126	16725534	84.5
	"2003"	"2003"	"North Carolina"	"37"	7496	7294936	102.8
	"2003"	"2003"	"North Dakota"	"38"	605	561417	107.8
	"2003"	"2003"	"Ohio"	"39"	10232	9921497	103.1
	"2003"	"2003"	"Oklahoma"	"40"	3671	3028435	121.2
	"2003"	"2003"	"Oregon"	"41"	2918	3094416	94.3
	"2003"	"2003"	"Pennsylvania"	"42"	12114	10888086	111.3
	"2003"	"2003"	"Rhode Island"	"44"	940	940537	99.9
	"2003"	"2003"	"South Carolina"	"45"	3612	3605509	100.2
	"2003"	"2003"	"South Dakota"	"46"	706	660285	106.9
	"2003"	"2003"	"Tennessee"	"47"	5838	5077537	115.0
	"2003"	"2003"	"Texas"	"48"	13635	18641616	73.1
	"2003"	"2003"	"Utah"	"49"	1273	1936918	65.7
	"2003"	"2003"	"Vermont"	"50"	495	547521	90.4
	"2003"	"2003"	"Virginia"	"51"	5835	6408582	91.0
	"2003"	"2003"	"Washington"	"53"	4629	5301914	87.3
	"2003"	"2003"	"West Virginia"	"54"	2259	1605763	140.7
	"2003"	"2003"	"Wisconsin"	"55"	4241	4771933	88.9
	"2003"	"2003"	"Wyoming"	"56"	482	439257	109.7
"Total"	"2003"	"2003"			234745	250894636	93.6
	"2004"	"2004"	"Alabama"	"01"	4259	3937205	108.2
	"2004"	"2004"	"Alaska"	"02"	235	563003	41.7
	"2004"	"2004"	"Arizona"	"04"	4210	4829128	87.2
	"2004"	"2004"	"Arkansas"	"05"	2658	2379314	111.7
	"2004"	"2004"	"California"	"06"	22852	30546727	74.8
	"2004"	"2004"	"Colorado"	"08"	3135	3947142	79.4
	"2004"	"2004"	"Connecticut"	"09"	3040	3049555	99.7
	"2004"	"2004"	"Delaware"	"10"	636	724601	87.8
	"2004"	"2004"	"District of Columbia"	"11"	340	508163	66.9
	"2004"	"2004"	"Florida"	"12"	14826	15362095	96.5
	"2004"	"2004"	"Georgia"	"13"	6043	7503035	80.5
	"2004"	"2004"	"Hawaii"	"15"	767	1114022	68.8
	"2004"	"2004"	"Idaho"	"16"	979	1181803	82.8
	"2004"	"2004"	"Illinois"	"17"	9406	10855802	86.6
	"2004"	"2004"	"Indiana"	"18"	5428	5374159	101.0
	"2004"	"2004"	"Iowa"	"19"	2965	2571883	115.3
	"2004"	"2004"	"Kansas"	"20"	2364	2352457	100.5
	"2004"	"2004"	"Kentucky"	"21"	4036	3604819	112.0
	"2004"	"2004"	"Louisiana"	"22"	3243	3918660	82.8
	"2004"	"2004"	"Maine"	"23"	1342	1166080	115.1
	"2004"	"2004"	"Maryland"	"24"	3830	4818438	79.5
	"2004"	"2004"	"Massachusetts"	"25"	5993	5633023	106.4
	"2004"	"2004"	"Michigan"	"26"	7724	8715503	88.6
	"2004"	"2004"	"Minnesota"	"27"	3264	4407671	74.1
	"2004"	"2004"	"Mississippi"	"28"	2512	2480512	101.3
	"2004"	"2004"	"Missouri"	"29"	5135	4994348	102.8
	"2004"	"2004"	"Montana"	"30"	916	816233	112.2
	"2004"	"2004"	"Nebraska"	"31"	1496	1506974	99.3
	"2004"	"2004"	"Nevada"	"32"	1826	2017489	90.5
	"2004"	"2004"	"New Hampshire"	"33"	1056	1132774	93.2
	"2004"	"2004"	"New Jersey"	"34"	5889	7491282	78.6
	"2004"	"2004"	"New Mexico"	"35"	1312	1639199	80.0
	"2004"	"2004"	"New York"	"36"	14353	16761597	85.6
	"2004"	"2004"	"North Carolina"	"37"	7005	7414695	94.5
	"2004"	"2004"	"North Dakota"	"38"	511	567197	90.1
	"2004"	"2004"	"Ohio"	"39"	10141	9949167	101.9
	"2004"	"2004"	"Oklahoma"	"40"	3374	3047758	110.7
	"2004"	"2004"	"Oregon"	"41"	2851	3118471	91.4
	"2004"	"2004"	"Pennsylvania"	"42"	12065	10933642	110.3
	"2004"	"2004"	"Rhode Island"	"44"	891	945590	94.2
	"2004"	"2004"	"South Carolina"	"45"	3338	3663134	91.1
	"2004"	"2004"	"South Dakota"	"46"	674	666111	101.2
	"2004"	"2004"	"Tennessee"	"47"	5530	5136190	107.7
	"2004"	"2004"	"Texas"	"48"	13338	18961116	70.3
	"2004"	"2004"	"Utah"	"49"	1222	1967465	62.1
	"2004"	"2004"	"Vermont"	"50"	476	550528	86.5
	"2004"	"2004"	"Virginia"	"51"	5487	6506485	84.3
	"2004"	"2004"	"Washington"	"53"	4144	5372322	77.1
	"2004"	"2004"	"West Virginia"	"54"	2164	1609321	134.5
	"2004"	"2004"	"Wisconsin"	"55"	4261	4806801	88.6
	"2004"	"2004"	"Wyoming"	"56"	492	444487	110.7
"Total"	"2004"	"2004"			226034	253565176	89.1
	"2005"	"2005"	"Alabama"	"01"	4365	3974914	109.8
	"2005"	"2005"	"Alaska"	"02"	261	570576	45.7
	"2005"	"2005"	"Arizona"	"04"	4863	4990078	97.5
	"2005"	"2005"	"Arkansas"	"05"	2926	2405240	121.7
	"2005"	"2005"	"California"	"06"	23618	30845415	76.6
	"2005"	"2005"	"Colorado"	"08"	3208	3996157	80.3
	"2005"	"2005"	"Connecticut"	"09"	3191	3066938	104.0
	"2005"	"2005"	"Delaware"	"10"	712	737879	96.5
	"2005"	"2005"	"District of Columbia"	"11"	303	509081	59.5
	"2005"	"2005"	"Florida"	"12"	14855	15747561	94.3
	"2005"	"2005"	"Georgia"	"13"	6410	7634815	84.0
	"2005"	"2005"	"Hawaii"	"15"	801	1132986	70.7
	"2005"	"2005"	"Idaho"	"16"	1223	1211131	101.0
	"2005"	"2005"	"Illinois"	"17"	10081	10894679	92.5
	"2005"	"2005"	"Indiana"	"18"	5955	5416357	109.9
	"2005"	"2005"	"Iowa"	"19"	3154	2581791	122.2
	"2005"	"2005"	"Kansas"	"20"	2746	2362486	116.2
	"2005"	"2005"	"Kentucky"	"21"	4395	3638965	120.8
	"2005"	"2005"	"Louisiana"	"22"	3688	3943042	93.5
	"2005"	"2005"	"Maine"	"23"	1461	1171869	124.7
	"2005"	"2005"	"Maryland"	"24"	3953	4866648	81.2
	"2005"	"2005"	"Massachusetts"	"25"	5951	5637477	105.6
	"2005"	"2005"	"Michigan"	"26"	7876	8729443	90.2
	"2005"	"2005"	"Minnesota"	"27"	3444	4437343	77.6
	"2005"	"2005"	"Mississippi"	"28"	2673	2497218	107.0
	"2005"	"2005"	"Missouri"	"29"	5583	5033763	110.9
	"2005"	"2005"	"Montana"	"30"	954	825540	115.6
	"2005"	"2005"	"Nebraska"	"31"	1644	1517205	108.4
	"2005"	"2005"	"Nevada"	"32"	1992	2092984	95.2
	"2005"	"2005"	"New Hampshire"	"33"	1087	1142702	95.1
	"2005"	"2005"	"New Jersey"	"34"	6103	7520463	81.2
	"2005"	"2005"	"New Mexico"	"35"	1486	1665072	89.2
