"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Population	Crude Rate
	"2001"	"2001"	"Mississippi"	"28"	2604	2857577	91.1
	"2001"	"2001"	"Missouri"	"29"	5522	5643326	97.9
	"2001"	"2001"	"Montana"	"30"	952	906098	105.1
	"2001"	"2001"	"Nebraska"	"31"	1498	1718965	87.1
	"2001"	"2001"	"Nevada"	"32"	1737	2094827	82.9
	"2001"	"2001"	"New Hampshire"	"33"	1002	1258546	79.6
	"2001"	"2001"	"New Jersey"	"34"	6191	8504864	72.8
	"2001"	"2001"	"New Mexico"	"35"	1430	1832608	78.0
	"2001"	"2001"	"New York"	"36"	14124	19091210	74.0
	"2001"	"2001"	"North Carolina"	"37"	6866	8198279	83.7
	"2001"	"2001"	"North Dakota"	"38"	560	636239	88.0
	"2001"	"2001"	"Ohio"	"39"	10283	11384992	90.3
	"2001"	"2001"	"Oklahoma"	"40"	3435	3465778	99.1
	"2001"	"2001"	"Oregon"	"41"	2805	3473484	80.8
	"2001"	"2001"	"Pennsylvania"	"42"	11636	12296063	94.6
	"2001"	"2001"	"Rhode Island"	"44"	985	1058365	93.1
	"2001"	"2001"	"South Carolina"	"45"	3311	4059615	81.6
	"2001"	"2001"	"South Dakota"	"46"	648	758068	85.5
	"2001"	"2001"	"Tennessee"	"47"	5534	5746831	96.3
	"2001"	"2001"	"Texas"	"48"	13942	21333606	65.4
	"2001"	"2001"	"Utah"	"49"	1200	2287736	52.5
	"2001"	"2001"	"Vermont"	"50"	541	612824	88.3
	"2001"	"2001"	"Virginia"	"51"	5666	7191941	78.8
	"2001"	"2001"	"Washington"	"53"	4580	5992412	76.4
	"2001"	"2001"	"West Virginia"	"54"	2236	1801438	124.1
	"2001"	"2001"	"Wisconsin"	"55"	4397	5404432	81.4
	"2001"	"2001"	"Wyoming"	"56"	461	494045	93.3
	"2002"	"2002"	"Alabama"	"01"	4470	4480139	99.8
	"2002"	"2002"	"Alaska"	"02"	240	640699	37.5
	"2002"	"2002"	"Arizona"	"04"	4587	5438159	84.3
	"2002"	"2002"	"Arkansas"	"05"	2778	2706606	102.6
	"2002"	"2002"	"California"	"06"	23639	34988088	67.6
	"2002"	"2002"	"Colorado"	"08"	3205	4498407	71.2
	"2002"	"2002"	"Connecticut"	"09"	3100	3458382	89.6
	"2002"	"2002"	"Delaware"	"10"	669	805767	83.0
	"2002"	"2002"	"District of Columbia"	"11"	289	564624	51.2
	"2002"	"2002"	"Florida"	"12"	15079	16677860	90.4
	"2002"	"2002"	"Georgia"	"13"	6374	8581731	74.3
	"2002"	"2002"	"Hawaii"	"15"	804	1234401	65.1
	"2002"	"2002"	"Idaho"	"16"	1050	1343973	78.1
	"2002"	"2002"	"Illinois"	"17"	9760	12586839	77.5
	"2002"	"2002"	"Indiana"	"18"	5551	6154739	90.2
	"2002"	"2002"	"Iowa"	"19"	3036	2934340	103.5
	"2002"	"2002"	"Kansas"	"20"	2570	2712454	94.7
	"2002"	"2002"	"Kentucky"	"21"	4466	4088510	109.2
	"2002"	"2002"	"Louisiana"	"22"	3324	4475003	74.3
	"2002"	"2002"	"Maine"	"23"	1362	1296978	105.0
	"2002"	"2002"	"Maryland"	"24"	3871	5442268	71.1
	"2002"	"2002"	"Massachusetts"	"25"	6294	6411568	98.2
	"2002"	"2002"	"Michigan"	"26"	7853	10039379	78.2
	"2002"	"2002"	"Minnesota"	"27"	3514	5023526	70.0
	"2002"	"2002"	"Mississippi"	"28"	2706	2866349	94.4
	"2002"	"2002"	"Missouri"	"29"	5499	5681045	96.8
	"2002"	"2002"	"Montana"	"30"	1008	910395	110.7
	"2002"	"2002"	"Nebraska"	"31"	1679	1726753	97.2
	"2002"	"2002"	"Nevada"	"32"	1830	2167867	84.4
	"2002"	"2002"	"New Hampshire"	"33"	1009	1274666	79.2
	"2002"	"2002"	"New Jersey"	"34"	6222	8576089	72.6
	"2002"	"2002"	"New Mexico"	"35"	1475	1855400	79.5
	"2002"	"2002"	"New York"	"36"	14517	19164755	75.7
	"2002"	"2002"	"North Carolina"	"37"	7158	8312755	86.1
	"2002"	"2002"	"North Dakota"	"38"	597	633571	94.2
	"2002"	"2002"	"Ohio"	"39"	10513	11404651	92.2
	"2002"	"2002"	"Oklahoma"	"40"	3475	3487076	99.7
	"2002"	"2002"	"Oregon"	"41"	3001	3522342	85.2
	"2002"	"2002"	"Pennsylvania"	"42"	12031	12324415	97.6
	"2002"	"2002"	"Rhode Island"	"44"	990	1068550	92.6
	"2002"	"2002"	"South Carolina"	"45"	3533	4102568	86.1
	"2002"	"2002"	"South Dakota"	"46"	729	760368	95.9
	"2002"	"2002"	"Tennessee"	"47"	5756	5790312	99.4
	"2002"	"2002"	"Texas"	"48"	13970	21722394	64.3
	"2002"	"2002"	"Utah"	"49"	1291	2336673	55.2
	"2002"	"2002"	"Vermont"	"50"	496	616274	80.5
	"2002"	"2002"	"Virginia"	"51"	5615	7286061	77.1
	"2002"	"2002"	"Washington"	"53"	4544	6066319	74.9
	"2002"	"2002"	"West Virginia"	"54"	2133	1804529	118.2
	"2002"	"2002"	"Wisconsin"	"55"	4386	5439137	80.6
	"2002"	"2002"	"Wyoming"	"56"	523	499045	104.8
	"2003"	"2003"	"Alabama"	"01"	4507	4501862	100.1
	"2003"	"2003"	"Alaska"	"02"	256	648510	39.5
	"2003"	"2003"	"Arizona"	"04"	4545	5577784	81.5
	"2003"	"2003"	"Arkansas"	"05"	2944	2726166	108.0
	"2003"	"2003"	"California"	"06"	24565	35456602	69.3
	"2003"	"2003"	"Colorado"	"08"	3317	4548071	72.9
	"2003"	"2003"	"Connecticut"	"09"	3082	3485881	88.4
	"2003"	"2003"	"Delaware"	"10"	610	817827	74.6
	"2003"	"2003"	"District of Columbia"	"11"	299	557846	53.6
	"2003"	"2003"	"Florida"	"12"	14934	16993369	87.9
	"2003"	"2003"	"Georgia"	"13"	6429	8746849	73.5
	"2003"	"2003"	"Hawaii"	"15"	786	1248200	63.0
	"2003"	"2003"	"Idaho"	"16"	1088	1368111	79.5
	"2003"	"2003"	"Illinois"	"17"	9636	12649940	76.2
	"2003"	"2003"	"Indiana"	"18"	5774	6196269	93.2
	"2003"	"2003"	"Iowa"	"19"	3260	2941362	110.8
	"2003"	"2003"	"Kansas"	"20"	2629	2724224	96.5
	"2003"	"2003"	"Kentucky"	"21"	4238	4116780	102.9
	"2003"	"2003"	"Louisiana"	"22"	3402	4490380	75.8
	"2003"	"2003"	"Maine"	"23"	1386	1308245	105.9
	"2003"	"2003"	"Maryland"	"24"	4012	5512477	72.8
	"2003"	"2003"	"Massachusetts"	"25"	6186	6417565	96.4
	"2003"	"2003"	"Michigan"	"26"	7860	10078146	78.0
	"2003"	"2003"	"Minnesota"	"27"	3293	5061662	65.1
	"2003"	"2003"	"Mississippi"	"28"	2735	2880793	94.9
	"2003"	"2003"	"Missouri"	"29"	5553	5718717	97.1
	"2003"	"2003"	"Montana"	"30"	1011	917885	110.1
	"2003"	"2003"	"Nebraska"	"31"	1642	1738013	94.5
	"2003"	"2003"	"Nevada"	"32"	1877	2241700	83.7
	"2003"	"2003"	"New Hampshire"	"33"	888	1287594	69.0
	"2003"	"2003"	"New Jersey"	"34"	6079	8640028	70.4
	"2003"	"2003"	"New Mexico"	"35"	1523	1879252	81.0
	"2003"	"2003"	"New York"	"36"	14185	19228031	73.8
	"2003"	"2003"	"North Carolina"	"37"	7524	8422375	89.3
	"2003"	"2003"	"North Dakota"	"38"	607	633051	95.9
	"2003"	"2003"	"Ohio"	"39"	10266	11431748	89.8
	"2003"	"2003"	"Oklahoma"	"40"	3696	3504917	105.5
	"2003"	"2003"	"Oregon"	"41"	2932	3562681	82.3
	"2003"	"2003"	"Pennsylvania"	"42"	12148	12364930	98.2
	"2003"	"2003"	"Rhode Island"	"44"	943	1075729	87.7
	"2003"	"2003"	"South Carolina"	"45"	3632	4146753	87.6
	"2003"	"2003"	"South Dakota"	"46"	706	764599	92.3
	"2003"	"2003"	"Tennessee"	"47"	5876	5841585	100.6
	"2003"	"2003"	"Texas"	"48"	13732	22099136	62.1
	"2003"	"2003"	"Utah"	"49"	1286	2378696	54.1
	"2003"	"2003"	"Vermont"	"50"	496	619092	80.1
	"2003"	"2003"	"Virginia"	"51"	5866	7383387	79.4
	"2003"	"2003"	"Washington"	"53"	4644	6131131	75.7
	"2003"	"2003"	"West Virginia"	"54"	2263	1810347	125.0
	"2003"	"2003"	"Wisconsin"	"55"	4262	5471792	77.9
	"2003"	"2003"	"Wyoming"	"56"	484	501915	96.4
	"2004"	"2004"	"Alabama"	"01"	4271	4525375	94.4
	"2004"	"2004"	"Alaska"	"02"	236	657755	35.9
	"2004"	"2004"	"Arizona"	"04"	4253	5739879	74.1
	"2004"	"2004"	"Arkansas"	"05"	2673	2750000	97.2
	"2004"	"2004"	"California"	"06"	22953	35842038	64.0
	"2004"	"2004"	"Colorado"	"08"	3148	4601821	68.4
	"2004"	"2004"	"Connecticut"	"09"	3045	3498966	87.0
	"2004"	"2004"	"Delaware"	"10"	642	830069	77.3
	"2004"	"2004"	"District of Columbia"	"11"	342	554239	61.7
	"2004"	"2004"	"Florida"	"12"	14890	17385430	85.6
	"2004"	"2004"	"Georgia"	"13"	6073	8918129	68.1
	"2004"	"2004"	"Hawaii"	"15"	770	1262124	61.0
	"2004"	"2004"	"Idaho"	"16"	984	1395140	70.5
	"2004"	"2004"	"Illinois"	"17"	9454	12712016	74.4
	"2004"	"2004"	"Indiana"	"18"	5453	6226537	87.6
	"2004"	"2004"	"Iowa"	"19"	2972	2952904	100.6
	"2004"	"2004"	"Kansas"	"20"	2377	2733697	87.0
	"2004"	"2004"	"Kentucky"	"21"	4050	4141835	97.8
	"2004"	"2004"	"Louisiana"	"22"	3273	4506685	72.6
	"2004"	"2004"	"Maine"	"23"	1344	1314985	102.2
	"2004"	"2004"	"Maryland"	"24"	3848	5561332	69.2
	"2004"	"2004"	"Massachusetts"	"25"	6007	6407382	93.8
	"2004"	"2004"	"Michigan"	"26"	7759	10104206	76.8
	"2004"	"2004"	"Minnesota"	"27"	3275	5096546	64.3
	"2004"	"2004"	"Mississippi"	"28"	2533	2900768	87.3
	"2004"	"2004"	"Missouri"	"29"	5155	5759532	89.5
	"2004"	"2004"	"Montana"	"30"	921	926920	99.4
	"2004"	"2004"	"Nebraska"	"31"	1502	1747704	85.9
	"2004"	"2004"	"Nevada"	"32"	1841	2332898	78.9
	"2004"	"2004"	"New Hampshire"	"33"	1060	1299169	81.6
	"2004"	"2004"	"New Jersey"	"34"	5907	8685166	68.0
	"2004"	"2004"	"New Mexico"	"35"	1320	1903006	69.4
	"2004"	"2004"	"New York"	"36"	14395	19280727	74.7
	"2004"	"2004"	"North Carolina"	"37"	7038	8540468	82.4
	"2004"	"2004"	"North Dakota"	"38"	511	636308	80.3
	"2004"	"2004"	"Ohio"	"39"	10178	11450143	88.9
	"2004"	"2004"	"Oklahoma"	"40"	3402	3523546	96.6
	"2004"	"2004"	"Oregon"	"41"	2859	3591363	79.6
	"2004"	"2004"	"Pennsylvania"	"42"	12098	12394471	97.6
	"2004"	"2004"	"Rhode Island"	"44"	892	1079916	82.6
	"2004"	"2004"	"South Carolina"	"45"	3358	4197892	80.0
	"2004"	"2004"	"South Dakota"	"46"	678	770621	88.0
	"2004"	"2004"	"Tennessee"	"47"	5563	5893298	94.4
	"2004"	"2004"	"Texas"	"48"	13425	22471549	59.7
	"2004"	"2004"	"Utah"	"49"	1225	2420708	50.6
	"2004"	"2004"	"Vermont"	"50"	477	621233	76.8
	"2004"	"2004"	"Virginia"	"51"	5516	7481332	73.7
	"2004"	"2004"	"Washington"	"53"	4159	6207046	67.0
	"2004"	"2004"	"West Virginia"	"54"	2168	1812548	119.6
	"2004"	"2004"	"Wisconsin"	"55"	4283	5503533	77.8
	"2004"	"2004"	"Wyoming"	"56"	495	505887	97.8
"---"
"Dataset: Multiple Cause of Death, 1999-2004 Archive"
"Query Parameters:"
"MCD - ICD-10 Codes: J00-J98 (Diseases of the respiratory system)"
"UCD - ICD-10 Codes: J00-J98 (Diseases of the respiratory system)"
"Group By: Year; State"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Population"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 12, 2024 5:53:11 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality File 1999-2004 on CDC WONDER On-line Database, released May 2009. Data are from the Multiple Cause of Death"
"Files, 1999-2004, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics"
"Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-v2004.html on Mar 12, 2024 5:53:11 PM"
"---"
Caveats:
"1. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"2. Population figures in this table for 1999 are from the 1990-1999 series of bridged-race intercensal estimates of the July 1"
"resident population."
"3. Population figures for 2000 are bridged-race April 1 census counts."
"4. The region, division, state and county population figures for 2001 and beyond are bridged-race postcensal estimates of the"
"July 1 resident population from the Vintage 2005 postcensal series."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
